"자치구별(1)",자치구별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",자치구별(2),전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,비사업용차량,비사업용차량,비사업용차량,비사업용차량,비사업용차량,사업용차량,사업용차량,사업용차량,사업용차량,사업용차량
"자치구별(1)",자치구별(2),계,승용차,승합차,화물차,특수차,계,승용차,승합차,화물차,특수차,계,승용차,승합차,화물차,특수차
"전체",소계,37740685,29896258,1813153,5845215,186060,30537843,26202684,931310,3351547,52302,7202842,3693574,881843,2493667,133758
"전체",종로구,557468,404004,42625,103260,7580,464195,384867,30634,47918,776,93273,19137,11991,55342,6804
"전체",중구,655579,486652,49522,107359,12046,539842,430919,41655,64032,3237,115737,55733,7867,43328,8809
"전체",용산구,753512,630846,23415,97796,1456,687925,600567,20790,65782,787,65587,30279,2625,32014,670
"전체",성동구,1318807,1014731,73811,226081,4183,956702,797696,23819,133655,1531,362105,217035,49993,92426,2652
"전체",광진구,1148143,903491,-,194196,4165,979426,822462,28086,127629,1250,168716,81029,18205,66567,2915
"전체",동대문구,1136423,882448,38801,212319,2856,968130,803800,31264,131599,1468,168293,78648,7537,80719,1388
"전체",중랑구,1464519,1104681,75064,278422,6351,1137668,926943,42297,166653,1776,326850,177738,32767,111770,4575
"전체",성북구,1401997,1103022,112473,183490,3014,1185136,1029480,37703,116297,1656,216861,73542,74770,67192,1358
"전체",강북구,892751,664396,83957,141593,2806,724878,592120,34999,96425,1334,167873,72276,48958,45168,1471
"전체",도봉구,1163400,913540,60045,185350,4465,912942,767773,29869,113374,1926,250459,145767,30176,71976,2539
"전체",노원구,1849227,1530744,95178,217913,5392,1527506,1338974,43902,142584,2047,321722,191771,51276,75330,3345
"전체",은평구,1571038,1278003,77812,210669,4554,1313797,1136282,39695,136033,1787,257242,141722,38117,74636,2767
"전체",서대문구,1080155,858266,49520,167653,4716,872765,767022,25802,78972,970,207390,91245,23718,88681,3747
"전체",마포구,1377152,1074509,60378,233342,8923,1148136,984260,28591,132736,2549,229016,90249,31787,100606,6374
"전체",양천구,1806960,1420723,90281,272855,23101,1452254,1273657,37145,139747,1705,354706,147065,53136,133108,21397
"전체",강서구,2615572,2048937,131347,426418,8870,2013779,1723822,57490,228453,4015,601793,325115,73858,197965,4856
"전체",구로구,1907421,1489558,91591,320266,6006,1429066,1173489,60079,192797,2701,478355,316069,31511,127470,3305
"전체",금천구,1177172,866307,70332,237104,3429,964263,769917,39194,153672,1480,212909,96391,31138,83431,1949
"전체",영등포구,1672106,1234056,55115,359403,23533,1357007,1136289,48093,169620,3005,315100,97767,7022,189783,20528
"전체",동작구,1134465,958807,35108,136539,4012,1039397,915997,29204,92718,1478,95069,42810,5904,43821,2534
"전체",관악구,1377583,1104965,61612,205552,5454,1172990,1007209,40840,122017,2925,204593,97757,20772,83535,2529
"전체",서초구,1921093,1503622,67750,340308,9414,1559544,1410565,29581,117729,1668,361549,93056,38168,222580,7745
"전체",강남구,2960520,2628074,73301,250256,8889,2178788,1977378,39466,158297,3647,781732,650696,33834,91959,5242
"전체",송파구,2886863,2256930,150517,463649,15767,2374075,2065483,47690,256142,4760,512788,191447,102827,207507,11007
"전체",강동구,1910759,1534947,97311,273424,5078,1577636,1365718,43423,166669,1826,333123,169230,53888,106754,3251
