Title,Director,Year,Rating
Jaws,James Cameron,1985,8.2
E.T.,Steven Spielberg,2019,6.0
Jurassic Park,Steven Spielberg,2002,8.4
Schindler's List,Steven Spielberg,1999,8.7
Saving Private Ryan,James Cameron,1980,9.2
Indiana Jones,Steven Spielberg,1978,9.5
Catch Me If You Can,Christopher Nolan,1993,6.3
Minority Report,Christopher Nolan,2020,8.2
War of the Worlds,James Cameron,2009,8.3
The Terminal,Martin Scorsese,1999,6.9
The Post,James Cameron,1973,6.8
Ready Player One,Martin Scorsese,2019,6.5
Lincoln,Christopher Nolan,1997,10.0
Bridge of Spies,Martin Scorsese,2021,8.3
The BFG,Quentin Tarantino,1986,9.0
West Side Story,James Cameron,1988,8.9
Hook,Steven Spielberg,1991,9.7
Amistad,Martin Scorsese,2004,9.9
The Adventures of Tintin,James Cameron,1989,8.6
War Horse,James Cameron,1997,8.2
Inception,Steven Spielberg,1979,7.2
Interstellar,Quentin Tarantino,1979,6.7
Dunkirk,Martin Scorsese,2004,9.1
Tenet,Martin Scorsese,1984,7.6
Memento,Christopher Nolan,1991,7.6
The Dark Knight,James Cameron,2017,6.5
The Prestige,Steven Spielberg,1992,9.3
Pulp Fiction,Christopher Nolan,1989,7.5
Kill Bill,James Cameron,2022,6.5
Django Unchained,Steven Spielberg,2022,6.2
Avatar,James Cameron,1988,7.5
Titanic,Steven Spielberg,2003,8.2
The Terminator,Steven Spielberg,1983,9.6
Aliens,Steven Spielberg,2010,9.1
True Lies,Christopher Nolan,2022,10.0
